,citation_id,patent_id
299,7242673,8537665
300,7962124,8537665
301,6813714,7912020
302,6839417,7912020
303,7209705,7912020
304,6141393,6901122
305,6362781,6901122
306,6418175,6901122
307,6445342,6901122
308,6504506,6901122
309,6647078,6901122
310,5790528,7853215
311,5883888,7853215
312,5914946,7853215
313,6055428,7853215
314,6075974,7853215
315,6088399,7853215
316,6101179,7853215
317,6144652,7853215
318,6151311,7853215
319,6151502,7853215
320,6154638,7853215
321,6160839,7853215
322,6236860,7853215
323,6311070,7853215
324,6324206,7853215
325,6334047,7853215
326,6535739,7853215
327,6556827,7853215
328,6594241,7853215
329,6618365,7853215
330,6628960,7853215
331,6708041,7853215
332,6717924,7853215
333,6760303,7853215
334,6845238,7853215
335,6853843,7853215
336,6965585,7853215
337,6996081,7853215
338,7003290,7853215
339,7016325,7853215
340,7061985,7853215
341,7177658,7853215
342,7184419,7853215
343,7254118,7853215
344,7315741,7853215
345,7321780,7853215
346,7409214,7853215
347,7433321,7853215
348,7433334,7853215
349,6995716,8060162
350,7158817,8060162
351,7245950,8060162
352,7452223,8060162
353,7554497,8060162
354,7596396,8060162
355,7609212,8060162
356,7733278,8060162
357,5736703,8102367
358,5493609,7653383
359,5590406,7653383
360,5675421,7653383
361,5884159,7653383
362,6009325,7653383
363,6041111,7653383
364,6144464,7653383
365,6148212,7653383
366,6205321,7653383
367,6295457,7653383
368,6301263,7653383
369,6470190,7653383
370,6473613,7653383
371,6577861,7653383
372,6662023,7653383
373,6741851,7653383
374,6871063,7653383
375,6904277,7653383
376,6914891,7653383
377,7007061,7653383
378,7016359,7653383
379,7127242,7653383
380,7146191,7653383
381,7155213,7653383
382,7499699,7653383
383,7505763,7653383
384,7512098,7653383
385,5862182,6925128
386,6005840,6925128
387,6192068,6925128
388,6314146,6925128
389,6373859,6925128
390,6512797,6925128
391,5977867,7667371
392,6118435,7667371
393,6563252,7667371
394,6710518,7667371
395,6723937,7667371
396,6807445,7667371
397,6943785,7667371
398,7176735,7667371
399,6460087,8897753
400,6810412,8897753
401,7539175,8897753
402,7616559,8897753
403,4560977,8140342
404,4670851,8140342
405,4727354,8140342
406,4853778,8140342
407,5006929,8140342
408,5067152,8140342
409,5327521,8140342
410,5394473,8140342
411,5956674,8140342
412,6108626,8140342
413,6236960,8140342
414,6253185,8140342
415,6263312,8140342
416,6304196,8140342
417,6453287,8140342
418,6493664,8140342
419,6504877,8140342
420,6593872,8140342
421,6658383,8140342
422,6662154,8140342
423,6691092,8140342
424,6704705,8140342
425,6813602,8140342
426,6940431,8140342
427,6975253,8140342
428,7031493,8140342
429,7130796,8140342
430,7161507,8140342
431,7212973,8140342
432,7230550,8140342
433,7231091,8140342
434,7414549,8140342
435,7461106,8140342
436,7761290,8140342
437,7840411,8140342
438,7885819,8140342
439,4972496,7567239
440,4974260,7567239
441,5367453,7567239
442,5455901,7567239
443,5500937,7567239
444,5596350,7567239
445,5680480,7567239
446,5682439,7567239
447,5698822,7567239
448,5710832,7567239
449,5734749,7567239
450,5745716,7567239
451,5754686,7567239
452,5778404,7567239
453,5812696,7567239
454,5838302,7567239
455,5870492,7567239
456,5881169,7567239
457,5889888,7567239
458,5911013,7567239
459,5917493,7567239
460,5926566,7567239
461,5953541,7567239
