,app_number,patent_number,blocked_app
598,"10/820,920",7019491,12163614
599,"10/820,920",7019491,12163614
600,"10/820,920",7019491,12163614
601,"10/813,476",7426175,11691549
602,"09/184,614",6169886,12257609
603,"08/594,602",5738583,11635804
604,"08/594,602",5738583,11635804
605,"08/594,602",5738583,11323852
606,"08/594,602",5738583,11875692
607,"08/772,665",5854785,11619550
608,"08/772,665",5854785,11619550
609,"08/772,665",5854785,11565597
610,"08/950,990",6011699,13002008
611,"08/950,990",6011699,12470400
612,"08/950,990",6011699,12142079
613,"08/950,990",6011699,12142079
614,"08/950,990",6011699,12470400
615,"08/950,990",6011699,12049854
616,"08/950,990",6011699,10841957
617,"09/131,628",5991285,10594053
618,"09/131,628",5991285,10594053
619,"09/131,628",5991285,10594053
620,"09/131,628",5991285,10594053
621,"09/131,628",5991285,10594053
622,"12/366,527",8767632,12903593
623,"11/027,098",7477690,12087349
624,"11/027,098",7477690,12087349
625,"11/027,098",7477690,12087349
626,"10/124,466",6643503,12594927
627,"09/762,836",6760589,10756163
628,"08/123,597",5901357,13000146
629,"09/106,339",6080501,11547583
630,"09/766,230",6940820,11786162
631,"08/711,701",5928330,11931196
632,"08/711,701",5928330,11931196
633,"08/711,701",5928330,12346844
634,"08/711,701",5928330,12083380
635,"08/711,701",5928330,13100693
636,"08/711,701",5928330,13100639
637,"08/711,701",5928330,12199814
638,"09/370,057",6236960,12196414
639,"09/370,057",6236960,12692245
640,"09/370,057",6236960,12196414
641,"08/816,649",6014552,12813607
642,"08/816,649",6014552,12813607
643,"08/816,649",6014552,12813607
644,"10/631,123",7085256,11864432
645,"09/669,192",6810323,12560267
646,"09/669,192",6810323,12704301
647,"09/999,839",6509659,11846540
648,"09/999,839",6509659,11846540
649,"09/999,839",6509659,11846540
650,"09/999,839",6509659,11846540
651,"09/650,118",6907237,12087060
652,"09/650,118",6907237,12087060
653,"09/650,118",6907237,12087060
654,"09/929,750",6649852,12711923
655,"09/929,750",6649852,12711923
656,"08/675,318",5857155,11470886
657,"08/675,318",5857155,11470886
658,"08/675,318",5857155,11470886
659,"08/675,318",5857155,11470886
660,"08/675,318",5857155,13055812
661,"08/675,318",5857155,13055812
662,"08/675,318",5857155,13055812
663,"08/675,318",5857155,13055812
664,"08/675,318",5857155,13055812
665,"08/675,318",5857155,13055811
666,"10/279,567",7751826,12484135
667,"10/279,567",7751826,13441014
668,"11/610,806",7634565,12040665
669,"11/610,806",7634565,12040665
670,"08/213,839",6216086,12020118
671,"08/213,839",6216086,11428181
672,"08/213,839",6216086,11428181
673,"08/213,839",6216086,12733083
674,"08/762,865",6018764,11378895
675,"08/762,865",6018764,11378895
676,"08/762,865",6018764,11378895
677,"08/587,073",5745695,12845646
678,"10/614,838",6980818,11836505
679,"10/395,782",7016319,12401568
680,"09/253,786",6317411,12720963
681,"09/253,786",6317411,12720963
682,"09/253,786",6317411,13123673
683,"09/253,786",6317411,13123673
684,"09/253,786",6317411,12605837
685,"09/898,172",7080397,11444554
686,"10/355,909",7062261,12479555
687,"10/355,909",7062261,12479555
688,"10/355,909",7062261,12479555
689,"09/665,096",6374177,12098514
690,"09/665,096",6374177,12098514
691,"09/665,096",6374177,12098514
692,"09/665,096",6374177,12098514
693,"09/665,096",6374177,12098514
694,"09/665,096",6374177,12368277
695,"09/079,067",6321070,13006163
696,"09/079,067",6321070,13006163
697,"09/079,067",6321070,12698957
698,"08/992,419",5923214,12396171
699,"08/992,419",5923214,11272017
700,"08/992,419",5923214,11272017
701,"08/992,419",5923214,11272017
702,"08/992,419",5923214,11272017
703,"10/109,928",7243163,10929029
704,"10/109,928",7243163,12628901
705,"10/109,928",7243163,11559567
706,"10/109,928",7243163,12395426
707,"10/109,928",7243163,12395426
708,"10/109,928",7243163,12400166
709,"10/109,928",7243163,11368145
710,"10/109,928",7243163,11368145
711,"10/109,928",7243163,11368145
712,"11/272,282",7583973,12478654
713,"11/272,282",7583973,12478654
714,"10/626,242",6972382,11443763
715,"09/213,566",6334063,12470808
716,"09/213,566",6334063,12470808
717,"08/883,972",6114968,11170392
718,"09/032,159",6112244,13115044
719,"09/032,159",6112244,13115044
720,"09/032,159",6112244,13115044
721,"09/928,609",6915312,12038189
722,"09/928,609",6915312,12038189
723,"09/928,609",6915312,12038189
724,"09/928,609",6915312,12038189
725,"09/928,609",6915312,12038189
726,"09/227,793",6487721,11820286
727,"09/227,793",6487721,11820286
728,"09/227,793",6487721,11820286
729,"09/227,793",6487721,11820286
730,"09/227,793",6487721,11820286
731,"09/227,793",6487721,11820286
732,"09/227,793",6487721,11820286
733,"09/227,793",6487721,11820286
734,"09/227,793",6487721,11820286
735,"09/227,793",6487721,11460543
736,"09/227,793",6487721,11985143
737,"09/227,793",6487721,12024044
738,"09/227,793",6487721,12024044
739,"09/227,793",6487721,12024044
740,"09/227,793",6487721,12024044
741,"09/227,793",6487721,12024044
742,"09/227,793",6487721,12024044
743,"09/227,793",6487721,11460543
744,"09/227,793",6487721,10759620
745,"08/966,277",6043838,11988032
746,"08/966,277",6043838,12031295
747,"08/966,277",6043838,11493434
748,"08/966,277",6043838,11493434
749,"08/966,277",6043838,11493434
750,"08/966,277",6043838,13302518
751,"08/966,277",6043838,12700186
752,"08/966,277",6043838,12700186
753,"08/966,277",6043838,11493434
754,"08/966,277",6043838,10590135
755,"09/502,066",6529728,12465414
756,"12/142,811",8224390,12949086
757,"10/175,974",7688764,11517883
758,"10/175,974",7688764,11988362
759,"10/175,974",7688764,11093323
760,"10/175,974",7688764,11988362
761,"10/175,974",7688764,11988362
762,"08/399,689",6012634,11448117
763,"08/399,689",6012634,11448117
764,"08/399,689",6012634,11448117
765,"09/143,714",6108314,11778727
766,"09/143,714",6108314,11778727
767,"12/408,092",7657272,13010538
768,"08/811,064",6002948,11761468
769,"08/811,064",6002948,11761468
770,"09/705,982",6775536,11967938
771,"10/449,263",7023814,12133755
772,"09/886,640",6526031,12403196
773,"08/856,958",5959546,11690555
774,"08/856,958",5959546,11690555
775,"08/856,958",5959546,11690555
776,"08/856,958",5959546,11690555
777,"08/856,958",5959546,12475942
778,"08/856,958",5959546,12475942
779,"08/856,958",5959546,12475942
780,"08/856,958",5959546,12475942
781,"09/872,783",7068719,11799101
782,"09/872,783",7068719,11799101
783,"09/872,783",7068719,11799101
784,"09/872,783",7068719,11799101
785,"09/872,783",7068719,11799101
786,"11/311,518",7640020,12807813
787,"09/444,952",6275693,10565158
788,"09/444,952",6275693,10565158
789,"12/431,305",8208434,12949233
790,"12/431,305",8208434,12949233
791,"10/331,733",6729547,11962598
792,"08/639,013",5963848,12814394
793,"12/123,606",8320878,13075979
794,"09/136,242",6081510,12053725
795,"08/740,635",6219703,10969359
796,"08/740,635",6219703,10969359
797,"08/740,635",6219703,12847812
798,"09/246,996",6167268,11355540
799,"09/246,996",6167268,12040862
800,"09/246,996",6167268,12040862
801,"09/246,996",6167268,12040862
802,"09/246,996",6167268,12040862
803,"09/246,996",6167268,11355540
804,"09/246,996",6167268,11355538
805,"09/246,996",6167268,11355540
806,"09/246,996",6167268,12040862
807,"09/246,996",6167268,12040862
808,"10/952,116",7606303,11777918
809,"09/079,013",6134336,11887316
810,"09/079,013",6134336,11855275
811,"08/617,715",6313736,11893720
812,"08/617,715",6313736,11893720
813,"08/617,715",6313736,11893720
814,"08/617,715",6313736,11893720
815,"08/617,715",6313736,11893720
816,"08/557,657",5771353,12194311
817,"08/557,657",5771353,10757609
818,"08/557,657",5771353,10757609
819,"08/557,657",5771353,10757609
